year,location,sequence,herd.type,status,foraging,vigilant,other,total
2023,WRF,W1,territorial,t.male,0,8,0,8
2023,WRF,W1,territorial,female,17,7,0,24
2023,WRF,W1,territorial,female,25,3,0,28
2023,WRF,W1,territorial,female,26,2,0,28
2023,WRF,W1,territorial,female,25,4,2,31
2023,WRF,W1,territorial,female,21,7,3,31
2023,WRF,W2,territorial,female,0,5,0,5
2023,WRF,W2,territorial,female,0,6,0,6
2023,WRF,W2,territorial,female,6,0,0,6
2023,WRF,W2,territorial,juvenile,2,2,0,4
2023,WRF,W3,territorial,t.male,1,3,1,5
2023,WRF,W3,territorial,female,22,9,7,38
2023,WRF,W3,territorial,female,37,16,1,54
2023,WRF,W3,territorial,juvenile,0,0,4,4
2023,WRF,W3,territorial,female,37,6,2,45
2023,WRF,W3,territorial,female,33,10,1,44
2023,WRF,W3,territorial,female,20,8,7,35
2023,WRF,W3,territorial,female,23,7,5,35
2023,WRF,W3,territorial,juvenile,5,0,1,6
2023,WRF,W3,territorial,female,15,14,0,29
2023,WRF,W4,territorial,female,9,5,0,14
2023,WRF,W4,territorial,female,9,2,4,15
2023,WRF,W4,territorial,female,10,4,1,15
2023,WRF,W4,territorial,t.male,1,42,1,44
2023,WRF,W5,territorial,female,16,14,1,31
2023,WRF,W5,territorial,female,14,17,0,31
2023,WRF,W5,territorial,female,9,0,0,9
2023,WRF,W5,territorial,t.male,1,13,0,14
2023,WRF,W5,territorial,juvenile,5,6,11,22
2023,WRF,W5,territorial,juvenile,5,6,11,22
2023,KNP,K1,bachelor,b.male,2,16,0,18
2023,KNP,K1,bachelor,b.male,7,9,0,16
2023,KNP,K1,bachelor,b.male,13,5,0,18
2023,KNP,K1,bachelor,b.male,15,3,0,18
2023,KNP,K2,bachelor,b.male,8,5,6,19
2023,KNP,K2,bachelor,b.male,6,4,8,18
2023,KNP,K2,bachelor,b.male,9,1,9,19
2023,KNP,K3,territorial,t.male,6,10,0,16
2023,KNP,K4,territorial,t.male,12,4,0,16
2023,KNP,K5,territorial,t.male,12,3,1,16
2023,KNP,K5,territorial,female,14,2,0,16
2023,KNP,K5,territorial,female,12,4,0,16
2023,KNP,K5,territorial,female,14,2,0,16
2023,KNP,K5,territorial,female,14,2,0,16
2023,KNP,K6,territorial,female,7,11,3,21
2023,KNP,K6,territorial,female,7,14,0,21
2023,KNP,K6,territorial,female,10,10,1,21
2023,KNP,K6,territorial,female,7,14,0,21
2023,KNP,K6,territorial,female,7,14,0,21
2023,KNP,K6,territorial,t.male,3,16,2,21
2023,KNP,K6,territorial,t.male,11,5,0,16
2023,KNP,K7,territorial,female,1,21,0,22
2023,KNP,K7,territorial,female,4,18,0,22
2023,KNP,K7,territorial,female,4,13,5,22
2023,KNP,K7,territorial,female,2,7,13,22
2023,KNP,K7,territorial,juvenile,4,5,13,22
2023,KNP,K7,territorial,t.male,6,11,5,22
2023,WRF,W6,territorial,juvenile,6,5,0,11
2023,WRF,W6,territorial,juvenile,5,6,0,11
2023,WRF,W6,territorial,juvenile,7,4,0,11
2023,WRF,W6,territorial,juvenile,8,3,0,11
2023,WRF,W6,territorial,female,2,6,1,9
2023,WRF,W6,territorial,female,4,0,5,9
2023,WRF,W6,territorial,female,6,3,3,12
2023,WRF,W6,territorial,female,5,3,4,12
2023,WRF,W6,territorial,female,7,1,4,12
2023,WRF,W6,territorial,t.male,4,7,0,11
2023,WRF,W7,territorial,female,26,12,4,42
2023,WRF,W7,territorial,female,32,6,5,43
2023,WRF,W7,territorial,female,34,6,3,43
2023,WRF,W7,territorial,t.male,29,3,5,37
2023,WRF,W7,territorial,female,25,16,4,45
2023,WRF,W7,territorial,female,36,7,2,45
2023,WRF,W7,territorial,juvenile,24,6,3,33
2023,WRF,W7,territorial,juvenile,21,2,2,25
2023,WRF,W8,territorial,female,11,5,0,16
2023,WRF,W8,territorial,female,10,5,1,16
2023,WRF,W8,territorial,female,13,1,2,16
2023,WRF,W8,territorial,female,5,9,2,16
2023,WRF,W8,territorial,female,7,8,1,16
2023,WRF,W8,territorial,t.male,8,5,1,14
2023,WRF,W9,territorial,female,3,2,2,7
2023,WRF,W9,territorial,female,3,2,2,7
2023,WRF,W9,territorial,female,3,2,2,7
2023,WRF,W9,territorial,female,4,1,2,7
2023,WRF,W9,territorial,female,3,2,2,7
2023,WRF,W9,territorial,female,2,1,4,7
2023,WRF,W10,territorial,female,0,3,3,6
2023,WRF,W10,territorial,juvenile,0,9,5,14
2023,WRF,W10,territorial,juvenile,0,7,7,14
2023,WRF,W10,territorial,female,5,8,0,13
2023,WRF,W10,territorial,female,10,4,0,14
2023,WRF,W10,territorial,juvenile,0,7,7,14
2023,WRF,W10,territorial,juvenile,0,10,4,14
2023,WRF,W10,territorial,juvenile,0,11,3,14
2023,WRF,W10,territorial,juvenile,1,10,3,14
2023,KNP,K8,territorial,female,5,0,2,7
2023,KNP,K8,territorial,female,0,6,1,7
2023,KNP,K8,territorial,t.male,0,6,1,7
2023,KNP,K8,territorial,female,6,1,0,7
2023,KNP,K8,territorial,female,5,2,0,7
2023,KNP,K8,territorial,female,5,2,0,7
2023,KNP,K8,territorial,juvenile,2,1,2,5
2023,KNP,K9,bachelor,b.male,2,8,5,15
2023,KNP,K9,bachelor,b.male,4,6,5,15
2023,KNP,K9,bachelor,b.male,2,6,2,10
2023,KNP,K9,bachelor,b.male,6,6,3,15
2023,KNP,K9,bachelor,b.male,8,2,5,15
2023,KNP,K9,bachelor,b.male,3,2,5,10
2023,WRF,W11,territorial,t.male,1,10,1,12
2023,WRF,W11,territorial,juvenile,2,8,3,13
2023,WRF,W11,territorial,juvenile,3,8,1,12
2023,WRF,W11,territorial,juvenile,6,4,2,12
2023,WRF,W11,territorial,female,4,3,1,8
2023,WRF,W12,bachelor,b.male,3,1,0,4
2023,WRF,W12,bachelor,b.male,4,2,0,6
2023,WRF,W13,bachelor,b.male,11,1,3,15
2023,WRF,W13,bachelor,b.male,7,1,4,12
2023,WRF,W13,bachelor,b.male,11,1,0,12
2023,KNP,K10,territorial,female,8,1,2,11
2023,KNP,K10,territorial,female,7,1,3,11
2023,KNP,K10,territorial,t.male,6,0,0,6
2023,KNP,K10,territorial,female,4,0,0,4
2023,KNP,K10,territorial,juvenile,4,0,3,7
2023,KNP,K10,territorial,juvenile,5,0,2,7
2023,KNP,K10,territorial,juvenile,5,0,2,7
2023,WRF,W14,territorial,t.male,1,4,0,5
2023,WRF,W14,territorial,female,18,0,0,18
2023,WRF,W14,territorial,female,11,0,3,14
2023,WRF,W14,territorial,female,13,1,0,14
2023,WRF,W14,territorial,female,8,1,0,9
2023,WRF,W14,territorial,female,7,1,1,9
2023,WRF,W14,territorial,juvenile,4,0,1,5
2023,WRF,W14,territorial,female,8,0,0,8
2023,WRF,W14,territorial,juvenile,4,1,1,6
2023,WRF,W14,territorial,juvenile,4,0,0,4
2023,WRF,W15,territorial,female,5,1,0,6
2023,WRF,W15,territorial,female,3,1,2,6
2023,WRF,W15,territorial,female,5,1,0,6
2023,WRF,W15,territorial,female,2,2,2,6
2023,KNP,K11,territorial,female,10,4,1,15
2023,KNP,K11,territorial,t.male,5,4,5,14
2023,KNP,K12,territorial,female,11,2,2,15
2023,KNP,K12,territorial,t.male,12,0,3,15
2023,KNP,K13,territorial,female,11,2,2,15
2023,KNP,K13,territorial,t.male,11,1,3,15
2023,WRF,W16,territorial,female,5,1,1,7
2023,WRF,W16,territorial,female,1,5,1,7
2023,WRF,W16,territorial,female,4,3,0,7
2023,WRF,W16,territorial,t.male,5,1,1,7
2023,WRF,W17,territorial,female,1,3,2,6
2023,WRF,W17,territorial,female,1,5,0,6
2023,WRF,W17,territorial,female,4,0,0,4
2023,WRF,W17,territorial,female,5,0,0,5
2023,WRF,W17,territorial,t.male,1,2,3,6
2023,WRF,W17,territorial,juvenile,5,0,0,5
2023,WRF,W18,bachelor,b.male,4,0,2,6
2023,WRF,W18,bachelor,b.male,5,2,1,8
2023,WRF,W18,bachelor,b.male,7,2,1,10
2023,WRF,W18,bachelor,b.male,5,1,2,8
2023,WRF,W18,bachelor,b.male,5,2,3,10
2023,WRF,W18,bachelor,b.male,2,5,0,7
2023,WRF,W19,bachelor,b.male,3,2,4,9
2023,WRF,W19,bachelor,b.male,4,2,3,9
2023,WRF,W19,bachelor,b.male,4,1,4,9
2023,WRF,W20,bachelor,b.male,5,5,0,10
2023,WRF,W20,bachelor,b.male,3,4,3,10
2023,WRF,W20,bachelor,b.male,4,5,1,10
